REGISTRY_ID,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_FIPS_CODE,FAC_EPA_REGION,FAC_INDIAN_CNTRY_FLG,FAC_FEDERAL_FLG,FAC_US_MEX_BORDER_FLG,FAC_CHESAPEAKE_BAY_FLG,FAC_NAA_FLAG,FAC_LAT,FAC_LONG,FAC_MAP_ICON,FAC_COLLECTION_METHOD,FAC_REFERENCE_POINT,FAC_ACCURACY_METERS,FAC_DERIVED_TRIBES,FAC_DERIVED_HUC,FAC_DERIVED_WBD,FAC_DERIVED_STCTY_FIPS,FAC_DERIVED_ZIP,FAC_DERIVED_CD113,FAC_DERIVED_CB2010,FAC_PERCENT_MINORITY,FAC_POP_DEN,FAC_MAJOR_FLAG,FAC_ACTIVE_FLAG,FAC_MYRTK_UNIVERSE,FAC_INSPECTION_COUNT,FAC_DATE_LAST_INSPECTION,FAC_DAYS_LAST_INSPECTION,FAC_INFORMAL_COUNT,FAC_DATE_LAST_INFORMAL_ACTION,FAC_FORMAL_ACTION_COUNT,FAC_DATE_LAST_FORMAL_ACTION,FAC_TOTAL_PENALTIES,FAC_PENALTY_COUNT,FAC_DATE_LAST_PENALTY,FAC_LAST_PENALTY_AMT,FAC_QTRS_WITH_NC,FAC_PROGRAMS_WITH_SNC,FAC_COMPLIANCE_STATUS,FAC_SNC_FLG,FAC_3YR_COMPLIANCE_HISTORY,AIR_FLAG,NPDES_FLAG,SDWIS_FLAG,RCRA_FLAG,TRI_FLAG,GHG_FLAG,AIR_IDS,CAA_PERMIT_TYPES,CAA_NAICS,CAA_SICS,CAA_EVALUATION_COUNT,CAA_DAYS_LAST_EVALUATION,CAA_INFORMAL_COUNT,CAA_FORMAL_ACTION_COUNT,CAA_DATE_LAST_FORMAL_ACTION,CAA_PENALTIES,CAA_LAST_PENALTY_DATE,CAA_LAST_PENALTY_AMT,CAA_QTRS_WITH_NC,CAA_COMPLIANCE_STATUS,CAA_HPV_FLAG,CAA_3YR_COMPL_QTRS_HISTORY,NPDES_IDS,CWA_PERMIT_TYPES,CWA_COMPLIANCE_TRACKING,CWA_NAICS,CWA_SICS,CWA_INSPECTION_COUNT,CWA_DAYS_LAST_INSPECTION,CWA_INFORMAL_COUNT,CWA_FORMAL_ACTION_COUNT,CWA_DATE_LAST_FORMAL_ACTION,CWA_PENALTIES,CWA_LAST_PENALTY_DATE,CWA_LAST_PENALTY_AMT,CWA_QTRS_WITH_NC,CWA_COMPLIANCE_STATUS,CWA_SNC_FLAG,CWA_13QTRS_COMPL_HISTORY,CWA_13QTRS_EFFLNT_EXCEEDANCES,CWA_3_YR_QNCR_CODES,RCRA_IDS,RCRA_PERMIT_TYPES,RCRA_NAICS,RCRA_INSPECTION_COUNT,RCRA_DAYS_LAST_EVALUATION,RCRA_INFORMAL_COUNT,RCRA_FORMAL_ACTION_COUNT,RCRA_DATE_LAST_FORMAL_ACTION,RCRA_PENALTIES,RCRA_LAST_PENALTY_DATE,RCRA_LAST_PENALTY_AMT,RCRA_QTRS_WITH_NC,RCRA_COMPLIANCE_STATUS,RCRA_SNC_FLAG,RCRA_3YR_COMPL_QTRS_HISTORY,SDWA_IDS,SDWA_SYSTEM_TYPES,SDWA_INFORMAL_COUNT,SDWA_FORMAL_ACTION_COUNT,SDWA_COMPLIANCE_STATUS,SDWA_SNC_FLAG,TRI_IDS,TRI_RELEASES_TRANSFERS,TRI_ON_SITE_RELEASES,TRI_OFF_SITE_TRANSFERS,TRI_REPORTER_IN_PAST,FEC_CASE_IDS,FEC_NUMBER_OF_CASES,FEC_LAST_CASE_DATE,FEC_TOTAL_PENALTIES,GHG_IDS,GHG_CO2_RELEASES,DFR_URL,FAC_SIC_CODES,FAC_NAICS_CODES,FAC_DATE_LAST_INSPECTION_EPA,FAC_DATE_LAST_INSPECTION_STATE,FAC_DATE_LAST_FORMAL_ACT_EPA,FAC_DATE_LAST_FORMAL_ACT_ST,FAC_DATE_LAST_INFORMAL_ACT_EPA,FAC_DATE_LAST_INFORMAL_ACT_ST,FAC_FEDERAL_AGENCY,TRI_REPORTER,FAC_IMP_WATER_FLG,EJSCREEN_FLAG_US
110002431226,ALAMEDA COUNTY SANTA RITA JAIL,5325 BRODER BLVD,DUBLIN,CA,94568,ALAMEDA,6001,9,N,,N,,Y,37.7159,-121.88416,RCRA-IC-MN-N.png,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,30,,18050004,180500040302,6001,94568,15,60014501023025,54.255,2889.28,,Y,NNY,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAD981397060,LQG,92214,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110002431226,,922140 92214,,,,,,,,,,Y
110012242938,ALHAMBRA POLICE DEPARTMENT,211 S 1ST ST,ALHAMBRA,CA,91801,LOS ANGELES,6037,9,N,,N,,Y,34.09219,-118.1262,RCRA-IC-MN-N.png,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,30,,18070105,180701050303,6037,91801,27,60374810011003,85.852,9316.69,,Y,NNN,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAR000091090,SQG,,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110012242938,,,,,,,,,,,,Y
110070445985,ANAHEIM POLICE FACILITY,425 S HARBOR BLVD,ANAHEIM,CA,92805,ORANGE,6059,9,N,,,,,33.830254,-117.91,no_ll.png,Zip Code Centroid,,10000,,,,,,,,,,,Y,NNN,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAL000031531,Other,562211,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070445985,,562211,,,,,,,,,,N
110044804352,ARCADIA POLICE DEPARTMENT,250 W HUNTINGTON DR,ARCADIA,CA,91007,LOS ANGELES,6037,9,N,,N,,Y,34.13604,-118.03896,RCRA-IC-MN-N.png,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,30,,18070105,180701050302,6037,91007,27,60374307211010,68.598,6044,,Y,NNN,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAR000223016,SQG,92212,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110044804352,,92212,,,,,,,,,,Y
110002710692,ATASCADERO STATE HOSPITAL,10333 EL CAMINO REAL,ATASCADERO,CA,93422,SAN LUIS OBISPO,6079,9,N,,N,,,35.461053,-120.644422,MULT-IC-MN-N.png,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,50,,18060005,180600050205,6079,93422,24,60790125033014,24.956,762.43,,Y,NNN,0,04/21/1998,8097,0,12/02/2002,1,12/18/2015,0,,,,0,0,No Violation Identified,N,___________U,N,N,Y,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAD981448707,SQG,922140,,8096,,,,,,,0,No Violation Identified,N,____________,CA4010832,Community water system,,1,No Violation Identified,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110002710692,,922140 622210,,04/21/1998,,12/18/2015,,12/02/2002,,,,N
110043694954,ATWATER FEDERAL PRISON,1 FEDERAL WAY,ATWATER,CA,95301,MERCED,6047,9,N,Y,N,,Y,37.38307,-120.55911,NONE-UNK-MN-N.png,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,50,,18040001,180400011802,6047,95301,16,60470005031100,69.05,710.9,,Y,NNN,0,,,0,,0,,0,,,,,0,,N,,N,N,N,N,Y,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,,,,N,95301TWTRF1FEDE,3,3,0,Y,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110043694954,,922140,,,,,,,Justice: Bureau of Prisons,Y,,Y
110043694954,ATWATER FEDERAL PRISON,1 FEDERAL WAY,ATWATER,CA,95301,MERCED,6047,9,N,Y,N,,Y,37.38307,-120.55911,NONE-UNK-MN-N.png,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,50,,18040001,180400011802,6047,95301,16,60470005031100,69.05,710.9,,Y,NNN,0,,,0,,0,,0,,,,,0,,N,,N,N,N,N,Y,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,,,,N,95301TWTRF1FEDE,3,3,0,Y,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110043694954,,922140,,,,,,,Justice: Bureau of Prisons,Y,,Y
110070469240,BARRY J NIDORF JUVENILE HALL DENTAL CLINIC,16350 FILBERT ST,SYLMAR,CA,91342,LOS ANGELES,6037,9,N,,,,,34.30588,-118.362687,no_ll.png,Zip Code Centroid,,10000,,,,,,,,,,,Y,NNN,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAL000313354,Other,62121 92119,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070469240,,92119 62121,,,,,,,,,,N
110070447892,BARRY NIDORF JUVENILE HALL POWER PLANT,16350 FILBERT,SYLMAR,CA,91342,LOS ANGELES,6037,9,N,,,,,34.30588,-118.362687,no_ll.png,Zip Code Centroid,,10000,,,,,,,,,,,Y,NNN,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAL000163408,Other,56299,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070447892,,56299,,,,,,,,,,N
110070470726,BEN LOMOND CONSERVATION CAMP/CAL-FIRE,13575 EMPIRE GRADE,SANTA CRUZ,CA,95060,SANTA CRUZ,6087,9,N,,,,,36.98062,-122.037846,no_ll.png,Zip Code Centroid,,10000,,,,,,,,,,,Y,NNN,0,,,0,,0,,0,,,,0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAL000327924,Other,811111 56299,,,,,,,,,0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070470726,,56299 811111,,,,,,,,,,N
